qpid	ontology	goid	desc	RM3_score	RM3_PPV	RM3_rank	ARGOT_score	ARGOT_PPV	ARGOT_rank	JAC_score	JAC_PPV	JAC_rank	HYGE_score	HYGE_PPV	HYGE_rank	SANS_score	SANS_PPV	SANS_rank
tr|F7GNE4|F7GNE4_MACMU	MF	0003712	transcription cofactor activity	0.302704040223	0.611576764454	38	3.58207841427	0.579511030512	31	0.00023554063667	0.634680071088	34	67.4071564831	0.798542198871	33	0.37	0.37	4
tr|F7GNE4|F7GNE4_MACMU	CC	0005622	intracellular	0.0	0.1205	127	0.390786566584	0.395468765634	109	1.18598382579e-06	0.417418850028	111	-0.0	0.2557	111	0.39	0.39	4
tr|F7GNE4|F7GNE4_MACMU	BP	0034330	cell junction organization	0.389482971629	0.752358224874	126	12.3431122879	0.814827758596	5	0.0119174597922	0.795794434421	136	208.297802246	0.875588179168	16	1.0	1.0	5
tr|F7GNE4|F7GNE4_MACMU	MF	0000975	regulatory region DNA binding	0.302448839092	0.611162751658	40	3.57676943439	0.579307306997	32	0.000233107059647	0.634253637451	35	67.0478700557	0.798177233289	34	0.37	0.37	5
tr|F7GNE4|F7GNE4_MACMU	CC	0016020	membrane	0.0	0.1205	126	0.0	0.3047	127	7.38874902623e-07	0.397989286174	116	-0.0	0.2557	116	0.39	0.39	5
tr|F7GNE4|F7GNE4_MACMU	MF	0001067	regulatory region nucleic acid binding	0.302426706181	0.611126845438	41	3.5761020914	0.579281688095	33	0.00023289730287	0.634216673789	36	67.0167396369	0.798145518785	35	0.37	0.37	6
tr|F7GNE4|F7GNE4_MACMU	CC	0005829	cytosol	0.247619731928	0.522213491107	86	2.45325992675	0.532125102322	76	3.89915598588e-05	0.560832090765	80	-0.0	0.2557	82	0.38	0.38	6
tr|F7GNE4|F7GNE4_MACMU	BP	0022607	cellular component assembly	0.27246053402	0.562512724341	685	5.9068554565	0.657594417445	49	0.000138744885648	0.612949207265	571	-0.0	0.2557	594	1.0	1.0	6
tr|F7GNE4|F7GNE4_MACMU	MF	0000989	transcription factor activity, transcription factor binding	0.295730972533	0.60026435674	42	3.43215180769	0.573698501571	37	0.000178014912457	0.623182608839	37	57.8236449592	0.788069694011	37	0.37	0.37	7
tr|F7GNE4|F7GNE4_MACMU	CC	0005634	nucleus	0.194931848606	0.436737937994	103	1.67244929679	0.492477302734	91	9.58683021471e-06	0.503226762372	93	-0.0	0.2557	93	0.38	0.38	7
tr|F7GNE4|F7GNE4_MACMU	BP	0044085	cellular component biogenesis	0.244541252708	0.517219274269	764	4.85795209581	0.624731870841	200	6.77894049388e-05	0.583540763294	620	-0.0	0.2557	638	1.0	1.0	7
tr|F7GNE4|F7GNE4_MACMU	MF	0000988	transcription factor activity, protein binding	0.254669424766	0.533650207799	52	2.64316262967	0.540763346261	44	4.08545517709e-05	0.562748485488	45	14.1576067497	0.691975713118	45	0.37	0.37	8
tr|F7GNE4|F7GNE4_MACMU	CC	0043231	intracellular membrane-bounded organelle	0.127313855558	0.327041267872	115	1.06894796375	0.454822192489	100	3.33194029847e-06	0.459833096846	103	-0.0	0.2557	103	0.38	0.38	8
tr|F7GNE4|F7GNE4_MACMU	BP	0007165	signal transduction	0.226880571541	0.488568351212	801	4.24790224323	0.603963584337	341	4.58058767992e-05	0.567445509522	656	-0.0	0.2557	672	1.0	1.0	8
tr|F7GNE4|F7GNE4_MACMU	MF	0003677	DNA binding	0.105849408738	0.292219495796	61	1.04081933633	0.452833843873	51	2.23704856336e-06	0.443474898982	59	-0.0	0.2557	59	0.37	0.37	9
tr|F7GNE4|F7GNE4_MACMU	CC	0043227	membrane-bounded organelle	0.125278380588	0.323739116828	117	1.06894796375	0.454822192489	101	3.26190915229e-06	0.458960894043	104	-0.0	0.2557	104	0.38	0.38	9
tr|F7GNE4|F7GNE4_MACMU	BP	0044700	single organism signaling	0.2264257384	0.487830475407	803	4.24790224323	0.603963584337	342	4.53712456735e-05	0.567054049719	657	-0.0	0.2557	673	1.0	1.0	9
tr|F7GNE4|F7GNE4_MACMU	MF	0003676	nucleic acid binding	0.0372190261875	0.180880426184	62	0.741494656163	0.429731841927	52	1.34606602142e-06	0.422617605151	60	-0.0	0.2557	60	0.37	0.37	10
tr|F7GNE4|F7GNE4_MACMU	CC	0044444	cytoplasmic part	0.11373310252	0.305009212218	118	0.984268280369	0.448753349582	102	3.09413836699e-06	0.456792795419	105	-0.0	0.2557	105	0.38	0.38	10
tr|F7GNE4|F7GNE4_MACMU	BP	0023052	signaling	0.226401335496	0.487790886575	804	4.24790224323	0.603963584337	343	4.53480780992e-05	0.567033078209	658	-0.0	0.2557	674	1.0	1.0	10
tr|F7GNE4|F7GNE4_MACMU	MF	1901363	heterocyclic compound binding	0.0	0.1205	63	0.370747328082	0.393110863291	53	6.88764104899e-07	0.395105651074	61	-0.0	0.2557	61	0.37	0.37	11
tr|F7GNE4|F7GNE4_MACMU	CC	0043229	intracellular organelle	0.0882535254287	0.263673694303	119	0.884113472616	0.441227651806	103	2.40538665572e-06	0.446453936282	106	-0.0	0.2557	106	0.38	0.38	11
tr|F7GNE4|F7GNE4_MACMU	BP	0007154	cell communication	0.222253781618	0.48106230992	810	4.16990019526	0.601203242162	359	4.16238237523e-05	0.563514437129	660	-0.0	0.2557	675	1.0	1.0	11
tr|F7GNE4|F7GNE4_MACMU	MF	0097159	organic cyclic compound binding	0.0	0.1205	65	0.370747328082	0.393110863291	54	6.88574815623e-07	0.395094365228	62	-0.0	0.2557	62	0.37	0.37	12
tr|F7GNE4|F7GNE4_MACMU	CC	0043226	organelle	0.0832213334885	0.255509969318	120	0.884113472616	0.441227651806	104	2.31758271571e-06	0.444927081066	107	-0.0	0.2557	107	0.38	0.38	12
tr|F7GNE4|F7GNE4_MACMU	BP	0016043	cellular component organization	0.219206429106	0.476118589939	813	4.08743852562	0.598256859796	386	3.91380057802e-05	0.56098601653	665	-0.0	0.2557	680	1.0	1.0	12
tr|F7GNE4|F7GNE4_MACMU	MF	0005488	binding	0.0	0.1205	64	0.0	0.3047	65	5.2457177801e-07	0.383924332693	63	-0.0	0.2557	63	0.37	0.37	13
tr|F7GNE4|F7GNE4_MACMU	CC	0005737	cytoplasm	0.0251213004052	0.161254285647	124	0.603501333036	0.417499125637	105	1.58471833701e-06	0.429319435025	108	-0.0	0.2557	108	0.38	0.38	13
tr|F7GNE4|F7GNE4_MACMU	BP	0071840	cellular component organization or biogenesis	0.209965330201	0.461126755184	819	3.80733227274	0.58801985211	448	3.269512242e-05	0.553600632162	676	-0.0	0.2557	687	1.0	1.0	13
tr|F7GNE4|F7GNE4_MACMU	MF	0045296	cadherin binding	0.340496135063	0.672886879913	20	4.38761685862	0.608845198442	18	0.00125346903848	0.70332363561	20	125.091380392	0.840765449817	19	0.36	0.36	14
tr|F7GNE4|F7GNE4_MACMU	CC	0005912	adherens junction	0.325810868666	0.649062972237	41	3.994723513	0.594908400315	26	0.000741494656163	0.681767042712	41	71.7899390491	0.802844001086	39	0.37	0.37	14
tr|F7GNE4|F7GNE4_MACMU	BP	0051716	cellular response to stimulus	0.206169907781	0.454969441394	821	3.70041770484	0.584013541541	468	3.04540776019e-05	0.550685125444	681	-0.0	0.2557	692	1.0	1.0	14
tr|F7GNE4|F7GNE4_MACMU	MF	0050839	cell adhesion molecule binding	0.331461078733	0.658229308029	22	4.17429019004	0.601359277705	22	0.000833715012308	0.686580246904	22	110.534873106	0.832317058421	21	0.36	0.36	15
tr|F7GNE4|F7GNE4_MACMU	CC	0070161	anchoring junction	0.324959248363	0.64768138862	42	3.97450191514	0.594172939766	27	0.000714089075431	0.680220713065	42	70.4737636884	0.801580373355	42	0.37	0.37	15
tr|F7GNE4|F7GNE4_MACMU	BP	0050896	response to stimulus	0.187783416994	0.425141037389	832	3.16990614409	0.563217423073	564	2.20644615129e-05	0.537453472336	701	-0.0	0.2557	707	1.0	1.0	15
tr|F7GNE4|F7GNE4_MACMU	MF	0005515	protein binding	0.194248791048	0.435629813717	57	1.7703578999	0.497895565213	48	8.33993920346e-06	0.497505692836	53	-0.0	0.2557	56	0.36	0.36	16
tr|F7GNE4|F7GNE4_MACMU	CC	0030054	cell junction	0.295039546506	0.599142656297	60	3.29660504985	0.568333184804	57	0.000201878603959	0.628347924879	58	29.3240018265	0.741701370027	58	0.37	0.37	16
tr|F7GNE4|F7GNE4_MACMU	BP	0050794	regulation of cellular process	0.154630682485	0.371357356195	844	2.32191428213	0.525953274974	668	1.33495600582e-05	0.51682144612	716	-0.0	0.2557	716	1.0	1.0	16
tr|F7GNE4|F7GNE4_MACMU	MF	0045294	alpha-catenin binding	0.396355686706	0.763507830542	2	5.68511062477	0.650907184655	1	0.0178203160601	0.812314294078	2	219.325817436	0.879111231433	2	0.35	0.35	17
tr|F7GNE4|F7GNE4_MACMU	CC	0005886	plasma membrane	0.14261728151	0.351868015794	113	1.17516202362	0.462103900684	97	3.96723837755e-06	0.466998700128	100	-0.0	0.2557	100	0.37	0.37	17
tr|F7GNE4|F7GNE4_MACMU	BP	0050789	regulation of biological process	0.152632023739	0.368114932112	845	2.32191428213	0.525953274974	669	1.29874501674e-05	0.515692299799	718	-0.0	0.2557	718	1.0	1.0	17
tr|F7GNE4|F7GNE4_MACMU	MF	0019903	protein phosphatase binding	0.355198613199	0.696738710192	13	4.66276922776	0.618236840164	12	0.00257458539849	0.732877538501	13	147.951603075	0.852227291266	13	0.35	0.35	18
tr|F7GNE4|F7GNE4_MACMU	CC	0071944	cell periphery	0.133314134901	0.33677552105	114	1.11216702895	0.457826947198	98	3.54837147028e-06	0.462417164872	101	-0.0	0.2557	101	0.37	0.37	18
tr|F7GNE4|F7GNE4_MACMU	BP	0065007	biological regulation	0.149562110249	0.363134611457	846	2.32191428213	0.525953274974	670	1.24572440073e-05	0.513980868997	722	-0.0	0.2557	722	1.0	1.0	18
tr|F7GNE4|F7GNE4_MACMU	CC	0071664	catenin-TCF7L2 complex	0.429311271587	0.816971675895	3	6.64587130506	0.679019610172	2	0.0832529554488	0.851944255225	3	265.553050172	0.892172121291	2	0.36	0.36	19
tr|F7GNE4|F7GNE4_MACMU	MF	0019902	phosphatase binding	0.348514128255	0.685894470268	18	4.50358155258	0.612838264447	15	0.00188692143313	0.720118476859	18	136.985362794	0.846968200869	15	0.35	0.35	19
tr|F7GNE4|F7GNE4_MACMU	BP	0044763	single-organism cellular process	0.116707456726	0.309834507046	873	1.58495307204	0.487499422909	694	8.28784495908e-06	0.497248413014	733	-0.0	0.2557	733	1.0	1.0	19
tr|F7GNE4|F7GNE4_MACMU	CC	0016342	catenin complex	0.392935698514	0.757959583699	9	5.60095321982	0.648335156484	7	0.0173397343792	0.811191775051	9	186.332068011	0.867978050594	9	0.36	0.36	20
tr|F7GNE4|F7GNE4_MACMU	MF	0019899	enzyme binding	0.275477182804	0.567406633663	49	2.93648444037	0.553517239989	41	8.62638865574e-05	0.59343643406	41	34.2700960136	0.752345512564	41	0.35	0.35	20
tr|F7GNE4|F7GNE4_MACMU	BP	0044699	single-organism process	0.0677743703967	0.230450361095	887	0.999994051167	0.449899568114	713	5.03263102466e-06	0.476765752534	753	-0.0	0.2557	753	1.0	1.0	20
tr|F7GNE4|F7GNE4_MACMU	CC	0030877	beta-catenin destruction complex	0.391657844338	0.755886520869	10	5.56712216843	0.647295766702	9	0.0163364289937	0.808744470487	10	183.937771765	0.867094863513	10	0.36	0.36	21
tr|F7GNE4|F7GNE4_MACMU	MF	0005102	receptor binding	0.254414347492	0.533236395936	53	2.56540066172	0.537264925917	45	4.16105714681e-05	0.563501362275	44	15.1210322435	0.696471556543	44	0.35	0.35	21
tr|F7GNE4|F7GNE4_MACMU	BP	0009987	cellular process	0.0315515826839	0.171686132588	894	0.0	0.3047	916	3.72024959588e-06	0.464359385165	764	-0.0	0.2557	764	1.0	1.0	21
tr|F7GNE4|F7GNE4_MACMU	CC	0005913	cell-cell adherens junction	0.359274588365	0.703351164704	18	4.73875968026	0.620781413388	15	0.00355431336892	0.746118295836	18	126.279373688	0.841410939914	17	0.36	0.36	22
tr|F7GNE4|F7GNE4_MACMU	MF	0043565	sequence-specific DNA binding	0.21317836563	0.466339262562	55	1.96955837559	0.508475067206	47	1.28674090915e-05	0.515311023541	50	-0.0	0.2557	55	0.35	0.35	22
tr|F7GNE4|F7GNE4_MACMU	BP	0051240	positive regulation of multicellular organismal process	0.307544426938	0.619429323822	540	3.7571336042	0.586145906104	457	0.000309805241492	0.645932990839	508	3.26036401213	0.591697775019	527	0.38	0.38	22
tr|F7GNE4|F7GNE4_MACMU	MF	0035257	nuclear hormone receptor binding	0.357661005333	0.700733448951	12	4.64264148967	0.617559387317	13	0.00304526431306	0.739771479195	12	150.59186751	0.853435211566	12	0.34	0.34	23
tr|F7GNE4|F7GNE4_MACMU	CC	0019897	extrinsic component of plasma membrane	0.32285070359	0.644260696434	43	3.8637499576	0.590111273264	37	0.000671360095633	0.677687226406	43	67.4611817048	0.798596909749	43	0.36	0.36	23
tr|F7GNE4|F7GNE4_MACMU	BP	0051239	regulation of multicellular organismal process	0.286471867916	0.585243311321	625	3.29539934086	0.568284969449	546	0.000133811247456	0.611462560743	572	-0.0	0.2557	595	0.38	0.38	23
tr|F7GNE4|F7GNE4_MACMU	MF	0051427	hormone receptor binding	0.349269619436	0.687120103611	17	4.44722620194	0.610904258469	16	0.00205812268405	0.723684440104	15	137.103999314	0.847027318	14	0.34	0.34	24
tr|F7GNE4|F7GNE4_MACMU	CC	0005813	centrosome	0.320588956119	0.640591463512	45	3.81183931314	0.588187496572	41	0.00060774267899	0.673599535832	45	64.1001345492	0.795106888957	44	0.36	0.36	24
tr|F7GNE4|F7GNE4_MACMU	BP	0007275	multicellular organism development	0.256008229305	0.535822150402	743	2.70669115745	0.543583398209	630	4.58188796309e-05	0.567457163497	655	-0.0	0.2557	671	0.38	0.38	24
tr|F7GNE4|F7GNE4_MACMU	MF	0008022	protein C-terminus binding	0.351165645039	0.690196025947	14	4.44356507912	0.610778193123	17	0.00204578293945	0.723437518519	16	136.903728965	0.846927492607	16	0.34	0.34	25
tr|F7GNE4|F7GNE4_MACMU	CC	0044798	nuclear transcription factor complex	0.312696775358	0.627787978663	47	3.6329250982	0.581454593751	46	0.000431462776985	0.65953359831	47	52.7505415128	0.781799051052	47	0.36	0.36	25
tr|F7GNE4|F7GNE4_MACMU	BP	0044707	single-multicellular organism process	0.25265235139	0.53037790966	748	2.64792810026	0.540976054764	637	4.11689134936e-05	0.563063218729	661	-0.0	0.2557	676	0.38	0.38	25
tr|F7GNE4|F7GNE4_MACMU	MF	0019900	kinase binding	0.310599340731	0.624385310468	32	3.58943641291	0.579793132358	28	0.000363236072452	0.652466011037	28	78.8190291195	0.809222977664	26	0.34	0.34	26
tr|F7GNE4|F7GNE4_MACMU	CC	0005911	cell-cell junction	0.30946500692	0.622545080726	49	3.56086048181	0.578695919627	48	0.000375859844013	0.653868758532	49	48.2926597165	0.77576942227	49	0.36	0.36	26
tr|F7GNE4|F7GNE4_MACMU	BP	0048518	positive regulation of biological process	0.251175931952	0.527982714406	751	2.62068298349	0.539757363569	643	3.93032669511e-05	0.56115902835	664	-0.0	0.2557	679	0.38	0.38	26
tr|F7GNE4|F7GNE4_MACMU	MF	0000977	RNA polymerase II regulatory region sequence-specific DNA binding	0.310476458407	0.624185958473	33	3.586773323	0.579691064291	29	0.000361333126831	0.652250337704	29	78.6470223659	0.809073785558	27	0.34	0.34	27
tr|F7GNE4|F7GNE4_MACMU	CC	0019898	extrinsic component of membrane	0.306225252442	0.617289227036	51	3.48945131633	0.57593466165	49	0.000327784085862	0.648249237586	51	43.9480208471	0.769331588403	51	0.36	0.36	27
tr|F7GNE4|F7GNE4_MACMU	BP	0048856	anatomical structure development	0.247400705879	0.521858165148	754	2.5565627694	0.536863983274	652	3.49765737335e-05	0.556370236336	667	-0.0	0.2557	681	0.38	0.38	27
tr|F7GNE4|F7GNE4_MACMU	MF	0001012	RNA polymerase II regulatory region DNA binding	0.310375964945	0.624022927929	34	3.58476649665	0.579614123754	30	0.000359784844787	0.652074021038	30	78.506433323	0.808951601439	30	0.34	0.34	28
tr|F7GNE4|F7GNE4_MACMU	CC	0005667	transcription factor complex	0.302771866003	0.611686798217	56	3.41408761649	0.572989667677	51	0.000283761083922	0.642327462291	55	39.4652772526	0.761984515688	55	0.36	0.36	28
tr|F7GNE4|F7GNE4_MACMU	BP	0044767	single-organism developmental process	0.24570896791	0.519113658641	760	2.5297608399	0.535643822126	654	3.32257371145e-05	0.554261652363	673	-0.0	0.2557	684	0.38	0.38	28
tr|F7GNE4|F7GNE4_MACMU	MF	0000976	transcription regulatory region sequence-specific DNA binding	0.303382821751	0.612677951727	37	3.43917029496	0.57397340176	36	0.000267764262865	0.639944928976	31	68.9046130568	0.800042662459	32	0.34	0.34	29
tr|F7GNE4|F7GNE4_MACMU	CC	0005815	microtubule organizing center	0.301429473875	0.609509035467	57	3.38529150009	0.571855827389	53	0.000268419159864	0.640045230787	56	37.7667958973	0.758980375267	56	0.36	0.36	29
tr|F7GNE4|F7GNE4_MACMU	BP	0032502	developmental process	0.242961835725	0.514656986096	766	2.48395677174	0.533543527278	657	3.06039379227e-05	0.550886680541	680	-0.0	0.2557	691	0.38	0.38	29
tr|F7GNE4|F7GNE4_MACMU	MF	1990837	sequence-specific double-stranded DNA binding	0.291541323255	0.593467488717	43	3.20091026149	0.564478596269	39	0.000165097895691	0.620089611619	38	53.5663474842	0.782847096828	38	0.34	0.34	30
tr|F7GNE4|F7GNE4_MACMU	CC	0015630	microtubule cytoskeleton	0.269355300619	0.557475104194	74	2.73907611237	0.54500824214	67	7.7856875105e-05	0.589226189292	71	6.91061919192	0.642998615626	72	0.36	0.36	30
tr|F7GNE4|F7GNE4_MACMU	BP	0032501	multicellular organismal process	0.242025641947	0.513138198931	767	2.46574525025	0.532703082744	658	2.97685936103e-05	0.549750354941	682	-0.0	0.2557	693	0.38	0.38	30
tr|F7GNE4|F7GNE4_MACMU	MF	0008134	transcription factor binding	0.276467001846	0.569012417095	48	2.9141022281	0.552567169748	42	9.22880865852e-05	0.596208148871	40	36.0924236809	0.755883606225	40	0.34	0.34	31
tr|F7GNE4|F7GNE4_MACMU	CC	0044430	cytoskeletal part	0.258442439466	0.539771169546	80	2.54135539573	0.536172455083	73	5.33962415923e-05	0.573741155726	76	1.97452585887	0.557449619475	79	0.36	0.36	31
tr|F7GNE4|F7GNE4_MACMU	BP	0060070	canonical Wnt signaling pathway	0.36050949234	0.705354549423	276	4.93571578474	0.627283157214	186	0.00315493356463	0.741224171274	275	67.232288416	0.798364810335	266	0.37	0.37	31
tr|F7GNE4|F7GNE4_MACMU	MF	0003690	double-stranded DNA binding	0.269487973555	0.557690339499	50	2.78941291002	0.54720629674	43	7.14996341553e-05	0.585728703682	43	28.9368565666	0.740793778218	42	0.34	0.34	32
tr|F7GNE4|F7GNE4_MACMU	CC	0005856	cytoskeleton	0.253256411393	0.531357876203	83	2.4511725395	0.532028327969	77	4.5011111323e-05	0.566726835533	78	-0.0	0.2557	80	0.36	0.36	32
tr|F7GNE4|F7GNE4_MACMU	BP	0016055	Wnt signaling pathway	0.310962634308	0.624974681637	523	3.74088221963	0.585536552948	460	0.00034260723642	0.65006530459	497	4.89309184005	0.619422527034	510	0.37	0.37	32
tr|F7GNE4|F7GNE4_MACMU	MF	0070411	I-SMAD binding	0.405656640257	0.778596767488	1	5.65990598812	0.650138886554	2	0.0272875909725	0.829809668453	1	226.397320107	0.881278287168	1	0.33	0.33	33
tr|F7GNE4|F7GNE4_MACMU	CC	0098797	plasma membrane protein complex	0.245044366026	0.518035475004	89	2.31835731108	0.525783739619	80	3.47296389444e-05	0.556079324394	82	-0.0	0.2557	84	0.36	0.36	33
tr|F7GNE4|F7GNE4_MACMU	BP	0198738	cell-cell signaling by wnt	0.31095669611	0.6249650481	524	3.74088221963	0.585536552948	461	0.000342521689406	0.650055050869	498	4.88944304411	0.619371583942	511	0.37	0.37	33
tr|F7GNE4|F7GNE4_MACMU	MF	0030331	estrogen receptor binding	0.385128825167	0.745294493068	3	5.15367571172	0.634328808173	4	0.0106074211749	0.791012970024	3	190.330225198	0.869427860752	3	0.33	0.33	34
tr|F7GNE4|F7GNE4_MACMU	CC	0044428	nuclear part	0.23958211632	0.509174067306	95	2.23305848236	0.521678481205	84	2.94506928729e-05	0.54930951445	87	-0.0	0.2557	89	0.36	0.36	34
tr|F7GNE4|F7GNE4_MACMU	BP	0042127	regulation of cell proliferation	0.305330078996	0.615836987155	552	3.61535890458	0.580784690629	485	0.000270971300945	0.640433786768	524	2.06971083069	0.560664753931	541	0.37	0.37	34
tr|F7GNE4|F7GNE4_MACMU	MF	0097718	disordered domain specific binding	0.377812184405	0.73342470676	4	4.97976341729	0.628719368738	5	0.00751724269216	0.776873775915	4	178.150513732	0.864911719096	4	0.33	0.33	35
tr|F7GNE4|F7GNE4_MACMU	CC	0044459	plasma membrane part	0.219470980083	0.476547770989	100	1.94534756938	0.507218741402	89	1.69000400137e-05	0.526504731023	90	-0.0	0.2557	91	0.36	0.36	35
tr|F7GNE4|F7GNE4_MACMU	BP	1905114	cell surface receptor signaling pathway involved in cell-cell signaling	0.302722636494	0.611606933185	561	3.55776171186	0.578576673854	500	0.000243479785925	0.636041229426	528	-0.0	0.2557	555	0.37	0.37	35
tr|F7GNE4|F7GNE4_MACMU	MF	0001102	RNA polymerase II activating transcription factor binding	0.372058168935	0.724089967463	5	4.84473680338	0.624296276285	6	0.00572967789449	0.76572433973	5	168.735973227	0.861204011127	5	0.33	0.33	36
tr|F7GNE4|F7GNE4_MACMU	CC	0098796	membrane protein complex	0.208393932682	0.45857747699	102	1.80381403472	0.499712521256	90	1.28716292583e-05	0.515324487917	91	-0.0	0.2557	92	0.36	0.36	36
tr|F7GNE4|F7GNE4_MACMU	BP	0009888	tissue development	0.297163558255	0.602588440557	582	3.437370145	0.573902920233	519	0.000194518670169	0.62682302229	545	-0.0	0.2557	570	0.37	0.37	36
tr|F7GNE4|F7GNE4_MACMU	MF	0035258	steroid hormone receptor binding	0.37174904979	0.723588483474	6	4.8375234972	0.624058264951	7	0.00564668204294	0.765125225401	6	168.233856334	0.861000493869	6	0.33	0.33	37
tr|F7GNE4|F7GNE4_MACMU	CC	0043234	protein complex	0.181332549735	0.414675795435	106	1.50435384827	0.482790854221	92	7.26815620246e-06	0.491857754975	95	-0.0	0.2557	95	0.36	0.36	37
tr|F7GNE4|F7GNE4_MACMU	BP	0007267	cell-cell signaling	0.292917047171	0.595699325625	600	3.34809571156	0.570384090247	540	0.000164423056	0.619921434413	556	-0.0	0.2557	581	0.37	0.37	37
tr|F7GNE4|F7GNE4_MACMU	MF	0000979	RNA polymerase II core promoter sequence-specific DNA binding	0.368028446159	0.717552548203	7	4.75097167417	0.621188429244	8	0.00473742898829	0.757916175742	7	162.217808244	0.858513707652	7	0.33	0.33	38
tr|F7GNE4|F7GNE4_MACMU	CC	0043232	intracellular non-membrane-bounded organelle	0.174198790517	0.403102697855	108	1.4094608177	0.477082478222	93	6.38377636097e-06	0.486530515042	96	-0.0	0.2557	96	0.36	0.36	38
tr|F7GNE4|F7GNE4_MACMU	BP	0010628	positive regulation of gene expression	0.278147710108	0.571739030109	665	3.04723476801	0.558165919807	582	9.39185612596e-05	0.596927231696	597	-0.0	0.2557	618	0.37	0.37	38
tr|F7GNE4|F7GNE4_MACMU	MF	0070491	repressing transcription factor binding	0.367991672743	0.717492890692	8	4.75013353556	0.621160511495	9	0.00472921853943	0.757844952827	8	162.158595694	0.858488775967	8	0.33	0.33	39
tr|F7GNE4|F7GNE4_MACMU	CC	0043228	non-membrane-bounded organelle	0.169343668343	0.395226233152	110	1.37355204872	0.474872420754	94	5.87228695009e-06	0.483101361603	97	-0.0	0.2557	97	0.36	0.36	39
tr|F7GNE4|F7GNE4_MACMU	BP	0009653	anatomical structure morphogenesis	0.272455442984	0.562504465153	686	2.93810306126	0.553585805872	598	7.65028589698e-05	0.588505828781	611	-0.0	0.2557	630	0.37	0.37	39
tr|F7GNE4|F7GNE4_MACMU	MF	0033613	activating transcription factor binding	0.365141028658	0.712868290791	9	4.68420369978	0.618956668936	10	0.00413448348069	0.752326588664	9	157.582878479	0.85653409015	9	0.33	0.33	40
tr|F7GNE4|F7GNE4_MACMU	CC	0044446	intracellular organelle part	0.148500672805	0.361412641491	111	1.19842810398	0.46365442005	95	4.28389010054e-06	0.47015174963	98	-0.0	0.2557	98	0.36	0.36	40
tr|F7GNE4|F7GNE4_MACMU	BP	0007166	cell surface receptor signaling pathway	0.268704961454	0.556420058966	701	2.86762292519	0.550582510229	610	6.70596313974e-05	0.583096343446	621	-0.0	0.2557	639	0.37	0.37	40
tr|F7GNE4|F7GNE4_MACMU	MF	0044325	ion channel binding	0.364711264957	0.71217108514	10	4.67428749164	0.618623860447	11	0.004051609647	0.75149519918	10	156.895480131	0.856235548093	10	0.33	0.33	41
tr|F7GNE4|F7GNE4_MACMU	CC	0044422	organelle part	0.144403075852	0.354765109955	112	1.19842810398	0.46365442005	96	4.05937823111e-06	0.467941420769	99	-0.0	0.2557	99	0.36	0.36	41
