nid	isquery	qpid	spid	qcov	scov	bits	pide	lali	desc	species	qseq	genename
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A024R2Q3|A0A024R2Q3_HUMAN	1	1	1617	1	781	Catenin (Cadherin-associated protein), beta 1, 88kDa, isoform CRA_a	Homo sapiens	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	sp|B6V8E6|CTNB1_CANLF	1	1	1616	0.9987	781	Catenin beta-1	Canis lupus familiaris	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	sp|Q0VCX4|CTNB1_BOVIN	1	1	1616	0.9987	781	Catenin beta-1	Bos taurus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|U6CUG1|U6CUG1_NEOVI	1	1	1616	0.9987	781	Catenin beta-1	Neovison vison	n.d.	CTNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|M3YJF4|M3YJF4_MUSPF	1	1	1616	0.9987	781	Uncharacterized protein	Mustela putorius furo	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|F6SRK5|F6SRK5_MONDO	1	1	1616	0.9974	781	Uncharacterized protein	Monodelphis domestica	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G1SFH9|G1SFH9_RABIT	1	1	1616	0.9987	781	Uncharacterized protein	Oryctolagus cuniculus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G1LYU0|G1LYU0_AILME	1	1	1616	0.9987	781	Uncharacterized protein	Ailuropoda melanoleuca	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|B1MV73|B1MV73_HORSE	1	1	1616	0.9987	781	Beta catenin 1	Equus caballus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q8WNW4|Q8WNW4_PIG	1	1	1616	0.9987	781	Beta-catenin	Sus scrofa	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|B5BU28|B5BU28_HUMAN	1	1	1616	0.9987	781	Catenin beta-1	Homo sapiens	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0A7HRN0|A0A0A7HRN0_HETGA	1	1	1615	0.9987	781	Catenin beta-1	Heterocephalus glaber	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	sp|Q02248|CTNB1_MOUSE	1	1	1615	0.9987	781	Catenin beta-1	Mus musculus	n.d.	Ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G3H996|G3H996_CRIGR	1	1	1615	0.9987	781	Catenin beta-1	Cricetulus griseus	n.d.	I79_006962
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A1A6GV28|A0A1A6GV28_NEOLE	1	1	1615	0.9987	781	Uncharacterized protein	Neotoma lepida	n.d.	A6R68_02239
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0G2JT93|A0A0G2JT93_RAT	1	1	1615	0.9987	781	Catenin (Cadherin associated protein), beta 1, isoform CRA_a	Rattus norvegicus	n.d.	Ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|K7BXH4|K7BXH4_PANTR	1	1	1615	0.9987	781	Catenin (Cadherin-associated protein), beta 1, 88kDa	Pan troglodytes	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|F6WBD5|F6WBD5_ORNAN	1	1	1614	0.9974	781	Uncharacterized protein	Ornithorhynchus anatinus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|M1EJI7|M1EJI7_MUSPF	0.998719590268886	1	1614	0.9987	780	Catenin, beta 1, 88kDa (Fragment)	Mustela putorius furo	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|U3E6S1|U3E6S1_CALJA	1	1	1613	0.9987	781	Catenin beta-1	Callithrix jacchus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|K7BHG5|K7BHG5_PANTR	1	1	1613	0.9987	781	Catenin (Cadherin-associated protein), beta 1, 88kDa	Pan troglodytes	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q5R2I4|Q5R2I4_PELSI	1	1	1613	0.9974	781	Beta-catenin homologue	Pelodiscus sinensis	n.d.	PsBeta-catenin
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|B5U453|B5U453_ANAPL	1	1	1613	0.9974	781	Beta-catenin	Anas platyrhynchos	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A1D5NYE8|A0A1D5NYE8_CHICK	1	1	1613	0.9974	781	Uncharacterized protein	Gallus gallus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|U3KCN8|U3KCN8_FICAL	1	1	1613	0.9974	781	Uncharacterized protein	Ficedula albicollis	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q76LW0|Q76LW0_MERUN	1	1	1613	0.9974	781	Beta-catenin	Meriones unguiculatus	n.d.	beta-catenin
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A1S2ZD30|A0A1S2ZD30_ERIEU	1	1	1613	0.9974	781	catenin beta-1	Erinaceus europaeus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G1PC65|G1PC65_MYOLU	1.00128040973111	1	1612	0.9974	782	Uncharacterized protein	Myotis lucifugus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q3UZT7|Q3UZT7_MOUSE	1	1	1612	0.9974	781	Putative uncharacterized protein	Mus musculus	n.d.	Ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|S9WHX7|S9WHX7_CAMFR	0.994878361075544	0.873033707865169	1612	0.9987	777	Catenin beta-1	Camelus ferus	n.d.	CB1_001546002
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|W5NY24|W5NY24_SHEEP	1.00128040973111	1	1612	0.9974	782	Uncharacterized protein	Ovis aries	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G3W2X0|G3W2X0_SARHA	1	1	1612	0.9962	781	Uncharacterized protein	Sarcophilus harrisii	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	sp|Q9WU82|CTNB1_RAT	1	1	1611	0.9974	781	Catenin beta-1	Rattus norvegicus	n.d.	Ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|H9G974|H9G974_ANOCA	1	1	1611	0.9962	781	Uncharacterized protein	Anolis carolinensis	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|K7XKB6|K7XKB6_SHEEP	1	1	1611	0.9962	781	Beta-catenin 1	Ovis aries	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G3TKH5|G3TKH5_LOXAF	1	1.00128205128205	1610	0.9974	781	Uncharacterized protein	Loxodonta africana	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A098M1C1|A0A098M1C1_9SAUR	1	1	1609	0.9923	781	Catenin beta-1-like protein	Hypsiglena sp. JMG-2014	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|M4WGF1|M4WGF1_SHEEP	1	1	1609	0.9949	781	Catenin (Cadherin-associated protein) beta 1	Ovis aries	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0F7ZDD4|A0A0F7ZDD4_CROAD	1	1	1608	0.9936	781	Catenin beta-1-like protein	Crotalus adamanteus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|T1DNK1|T1DNK1_CROHD	1	1	1608	0.9936	781	Catenin beta-1-like protein	Crotalus horridus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|U3J1G9|U3J1G9_ANAPL	1.00128040973111	1	1608	0.9962	782	Uncharacterized protein	Anas platyrhynchos	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|M3W0E4|M3W0E4_FELCA	1	1.00128205128205	1608	0.9974	781	Uncharacterized protein	Felis catus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0B8RUX5|A0A0B8RUX5_BOIIR	1	1	1608	0.9923	781	Catenin beta-1-like protein	Boiga irregularis	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G8F1J3|G8F1J3_MACMU	0.994878361075544	1	1608	1	777	Uncharacterized protein (Fragment)	Macaca mulatta	n.d.	EGK_21300
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A1C9ZQR7|A0A1C9ZQR7_ELAQU	1	1	1607	0.9923	781	Catenin (Cadherin-associated protein), beta 1, 88kDa	Elaphe quadrivirgata	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091DS69|A0A091DS69_FUKDA	0.994878361075544	0.966417910447761	1607	0.9987	777	Catenin beta-1	Fukomys damarensis	n.d.	H920_05491
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|D2HN43|D2HN43_AILME	0.994878361075544	1	1607	0.9987	777	Putative uncharacterized protein (Fragment)	Ailuropoda melanoleuca	n.d.	PANDA_013082
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|V5RDH2|V5RDH2_GEKJA	1	1	1607	0.9936	781	Beta-catenin	Gekko japonicus	n.d.	Ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|H0UZN6|H0UZN6_CAVPO	1	1	1607	0.9936	781	Uncharacterized protein	Cavia porcellus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|B3F375|B3F375_9AVES	1	1	1606	0.9936	781	Beta-catenin	Anser anser	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|O42486|O42486_CHICK	1	1	1606	0.9936	781	Beta catenin	Gallus gallus	n.d.	Bcat
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G5ALX2|G5ALX2_HETGA	0.997439180537772	0.82521186440678	1605	0.9961	779	Catenin beta-1	Heterocephalus glaber	n.d.	GW7_09171
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|U3FZP1|U3FZP1_MICFL	1	1	1605	0.991	781	Catenin	Micrurus fulvius	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091N2Q4|A0A091N2Q4_CARIC	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Cariama cristata	n.d.	N322_08013
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093J9T0|A0A093J9T0_EURHL	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Eurypyga helias	n.d.	N326_09205
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A094L9P7|A0A094L9P7_ANTCR	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Antrostomus carolinensis	n.d.	N321_11797
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091ERU0|A0A091ERU0_CORBR	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Corvus brachyrhynchos	n.d.	N302_16051
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|R0LMK7|R0LMK7_ANAPL	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Anas platyrhynchos	n.d.	Anapl_11799
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091REZ8|A0A091REZ8_9GRUI	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Mesitornis unicolor	n.d.	N332_06440
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091STR3|A0A091STR3_9AVES	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Pelecanus crispus	n.d.	N334_08901
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091PHA7|A0A091PHA7_HALAL	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Haliaeetus albicilla	n.d.	N329_12774
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A094KT39|A0A094KT39_9AVES	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Podiceps cristatus	n.d.	N338_01227
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091LEZ0|A0A091LEZ0_CATAU	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Cathartes aura	n.d.	N323_04651
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093GFM1|A0A093GFM1_PICPB	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Picoides pubescens	n.d.	N307_01802
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093BXD8|A0A093BXD8_TAUER	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Tauraco erythrolophus	n.d.	N340_05407
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093EEZ0|A0A093EEZ0_9AVES	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Pterocles gutturalis	n.d.	N339_09448
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091K441|A0A091K441_COLST	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Colius striatus	n.d.	N325_04049
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091IXB6|A0A091IXB6_9AVES	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Egretta garzetta	n.d.	Z169_13134
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0A0A1M4|A0A0A0A1M4_CHAVO	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Charadrius vociferus	n.d.	N301_11960
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091HN57|A0A091HN57_BUCRH	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Buceros rhinoceros silvestris	n.d.	N320_12482
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A099ZCF7|A0A099ZCF7_TINGU	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Tinamus guttatus	n.d.	N309_13583
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091UR75|A0A091UR75_PHALP	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Phaethon lepturus	n.d.	N335_02354
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091RR50|A0A091RR50_NESNO	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Nestor notabilis	n.d.	N333_05443
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093QDH5|A0A093QDH5_9PASS	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Manacus vitellinus	n.d.	N305_10402
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091UEV1|A0A091UEV1_PHORB	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Phoenicopterus ruber ruber	n.d.	N337_02323
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093I1Z7|A0A093I1Z7_STRCA	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Struthio camelus australis	n.d.	N308_03586
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091HZ16|A0A091HZ16_CALAN	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Calypte anna	n.d.	N300_01502
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091UZP6|A0A091UZP6_NIPNI	0.994878361075544	1	1604	0.9974	777	Catenin beta-1 (Fragment)	Nipponia nippon	n.d.	Y956_11388
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|H0Z303|H0Z303_TAEGU	0.994878361075544	0.996153846153846	1604	0.9974	777	Uncharacterized protein	Taeniopygia guttata	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091GCE0|A0A091GCE0_9AVES	0.994878361075544	1	1603	0.9961	777	Catenin beta-1 (Fragment)	Cuculus canorus	n.d.	N303_02203
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|F7CR17|F7CR17_CALJA	0.991037131882202	1	1603	1	774	Uncharacterized protein	Callithrix jacchus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|B4DGU4|B4DGU4_HUMAN	0.991037131882202	1	1603	1	774	Catenin beta-1	Homo sapiens	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|M7B3D1|M7B3D1_CHEMY	0.994878361075544	1	1603	0.9961	777	Catenin beta-1 (Fragment)	Chelonia mydas	n.d.	UY3_11310
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091NFV6|A0A091NFV6_APAVI	0.994878361075544	1	1603	0.9961	777	Catenin beta-1 (Fragment)	Apaloderma vittatum	n.d.	N311_03706
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q4R3D3|Q4R3D3_MACFA	0.991037131882202	1	1603	0.9987	774	Testis cDNA clone: QtsA-17763, similar to human catenin (cadherin-associated protein), beta 1, 88kDa(CTNNB1)	Macaca fascicularis	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093FA81|A0A093FA81_TYTAL	0.994878361075544	1	1602	0.9961	777	Catenin beta-1 (Fragment)	Tyto alba	n.d.	N341_07577
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G1NGP2|G1NGP2_MELGA	0.99359795134443	0.97979797979798	1601	0.9974	776	Uncharacterized protein	Meleagris gallopavo	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091KKY5|A0A091KKY5_9GRUI	0.994878361075544	1	1601	0.9961	777	Catenin beta-1 (Fragment)	Chlamydotis macqueenii	n.d.	N324_12075
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|K9J2T0|K9J2T0_DESRO	1.00256081946223	1	1600	0.9923	783	Putative armadillo/beta-catenin/plakoglobin	Desmodus rotundus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|S7MI47|S7MI47_MYOBR	0.994878361075544	0.954545454545455	1600	0.9974	777	Catenin beta-1	Myotis brandtii	n.d.	D623_10018801
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0Q3TSZ8|A0A0Q3TSZ8_AMAAE	0.994878361075544	0.986040609137056	1598	0.9949	777	Catenin beta-1	Amazona aestiva	n.d.	AAES_55360
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|K7F2M5|K7F2M5_PELSI	1	1.00385604113111	1598	0.9923	781	Uncharacterized protein	Pelodiscus sinensis	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091NC44|A0A091NC44_9PASS	0.994878361075544	1	1596	0.9936	777	Catenin beta-1 (Fragment)	Acanthisitta chloris	n.d.	N310_00327
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|H3B5N8|H3B5N8_LATCH	1	1	1595	0.9795	781	Uncharacterized protein	Latimeria chalumnae	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|J3S440|J3S440_CROAD	1	1	1595	0.9859	781	Catenin beta-1-like	Crotalus adamanteus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|M5D630|M5D630_LATME	1	1	1595	0.9795	781	Catenin beta-1	Latimeria menadoensis	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|G7NYI0|G7NYI0_MACFA	0.985915492957746	1	1594	1	770	Putative uncharacterized protein	Macaca fascicularis	n.d.	EGM_10763
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093FEX7|A0A093FEX7_GAVST	0.994878361075544	1	1592	0.9897	777	Catenin beta-1 (Fragment)	Gavia stellata	n.d.	N328_12344
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A087VFX5|A0A087VFX5_BALRE	0.994878361075544	1	1590	0.9897	777	Catenin beta-1 (Fragment)	Balearica regulorum gibbericeps	n.d.	N312_02374
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q28GC2|Q28GC2_XENTR	1	1	1588	0.9795	781	Catenin (Cadherin associated protein), beta 1, 88kDa	Xenopus tropicalis	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q63ZT4|Q63ZT4_XENLA	1	1	1588	0.9782	781	Beta-catenin protein	Xenopus laevis	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|L8IT83|L8IT83_9CETA	0.994878361075544	1.00909090909091	1587	0.9897	777	Catenin beta-1 (Fragment)	Bos mutus	n.d.	M91_15433
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|W5LZL6|W5LZL6_LEPOC	1	1.00128205128205	1587	0.9795	781	Uncharacterized protein	Lepisosteus oculatus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	sp|P26233|CTNB_XENLA	1	1	1584	0.9744	781	Catenin beta	Xenopus laevis	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|B5U307|B5U307_CARAU	1	1.00128205128205	1583	0.9757	781	Beta-catenin	Carassius auratus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A093IIW7|A0A093IIW7_FULGA	0.994878361075544	1.00647668393782	1583	0.9884	777	Catenin beta-1 (Fragment)	Fulmarus glacialis	n.d.	N327_05785
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|F1QGH7|F1QGH7_DANRE	1	1.00128205128205	1581	0.9744	781	Catenin (cadherin-associated protein), beta 1	Danio rerio	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091PPX8|A0A091PPX8_LEPDC	0.994878361075544	1	1580	0.9846	777	Catenin beta-1 (Fragment)	Leptosomus discolor	n.d.	N330_06482
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q7T192|Q7T192_CARAU	1	1.00128205128205	1580	0.9718	781	Beta-catenin	Carassius auratus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q7ZX35|Q7ZX35_XENLA	1	1	1579	0.9731	781	Ctnnb1-prov protein	Xenopus laevis	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|V9KA12|V9KA12_CALMI	1	1	1578	0.9706	781	Catenin beta-1	Callorhinchus milii	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0F7ZBR1|A0A0F7ZBR1_CROAD	1	1	1578	0.9731	781	Catenin beta-1-like protein	Crotalus adamanteus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|T1DM01|T1DM01_CROHD	1	1	1578	0.9731	781	Catenin beta-1-like protein	Crotalus horridus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|W5JXZ4|W5JXZ4_ASTMX	1	1.00128205128205	1576	0.9718	781	Uncharacterized protein	Astyanax mexicanus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q7ZU14|Q7ZU14_DANRE	1	1.00128205128205	1576	0.9718	781	Catenin (Cadherin-associated protein), beta 1	Danio rerio	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|Q90424|Q90424_DANRE	1	1.00128205128205	1575	0.9706	781	B-catenin	Danio rerio	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0N4SUA5|A0A0N4SUA5_DANRE	1.01152368758003	1.00126742712294	1575	0.9633	790	Catenin (cadherin-associated protein), beta 1	Danio rerio	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|C0HAA3|C0HAA3_SALSA	1	1.00128205128205	1575	0.9706	781	Catenin beta-1	Salmo salar	n.d.	CTNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A1A5I6|A1A5I6_XENLA	1	1.00128205128205	1571	0.9718	781	Ctnnb1 protein	Xenopus laevis	n.d.	ctnnb1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A0P7XD72|A0A0P7XD72_9TELE	0.99359795134443	0.978562421185372	1567	0.9755	776	Catenin beta-1-like	Scleropages formosus	n.d.	Z043_107742
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|W5UM76|W5UM76_ICTPU	1	1.00256739409499	1565	0.968	781	Catenin beta-1	Ictalurus punctatus	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A1C9ZML6|A0A1C9ZML6_ELAQU	1.01024327784891	1	1563	0.9607	789	Catenin (Cadherin-associated protein), beta 1, 88kDa	Elaphe quadrivirgata	n.d.	CTNNB1
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|A0A091W6S5|A0A091W6S5_OPIHO	0.994878361075544	1.01701570680628	1562	0.9781	777	Catenin beta-1 (Fragment)	Opisthocomus hoazin	n.d.	N306_00371
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|W5K5Y4|W5K5Y4_ASTMX	1	1.00256739409499	1558	0.9641	781	Uncharacterized protein	Astyanax mexicanus	n.d.	
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|L9K6V1|L9K6V1_TUPCH	1.00768245838668	0.945913461538462	1545	0.9632	787	Catenin beta-1	Tupaia chinensis	n.d.	TREES_T100009290
1	0	tr|F7GNE4|F7GNE4_MACMU	tr|R7VV76|R7VV76_COLLI	1.00384122919334	1.00900900900901	1541	0.9605	784	Catenin beta-1 (Fragment)	Columba livia	n.d.	A306_10537
